FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
HGFF11,FUNDO DE FUNDOS,"87,03","784.592,71","0,95","0,70","0,80 %","2,45 %","4,74 %","9,94 %","0,82 %","0,79 %","0,83 %","9,94 %","4,95 %","5,79 %","35,20 %","262.518.545,42","91,67","0,95","0,76 %","5,56 %","6,37 %","12,05 %",0,"17,54",16.406,N/A,N/A,N/A
HGIC11,PAPÉIS,"105,00","18.486,43","0,88","1,02","0,96 %","2,88 %","5,79 %","10,45 %","0,96 %","0,97 %","0,87 %","10,45 %","-0,09 %","0,86 %","1,03 %","55.487.135,87","119,92","0,88","0,83 %","4,53 %","5,40 %","25,32 %",0,"30,43",357,N/A,N/A,N/A
HGLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"161,84","13.845.248,29","1,06","1,10","0,68 %","2,06 %","4,09 %","8,41 %","0,69 %","0,68 %","0,70 %","8,41 %","0,37 %","1,05 %","7,08 %","5.163.788.903,49","152,83","1,06","0,72 %","-0,78 %","-0,06 %","15,86 %",25,"8,37",430.770,N/A,N/A,N/A
HGPO11,LAJES CORPORATIVAS,"284,00","675.311,90","0,94","1,50","0,53 %","1,61 %","3,27 %","7,03 %","0,54 %","0,55 %","0,59 %","7,03 %","2,22 %","2,76 %","15,32 %","523.876.341,21","298,84","0,95","0,50 %","-0,18 %","0,32 %","19,54 %",2,"13,47",17.927,N/A,N/A,N/A
HGRE11,LAJES CORPORATIVAS,"131,04","1.601.478,48","0,85","1,20","0,90 %","2,14 %","3,83 %","8,11 %","0,71 %","0,64 %","0,68 %","8,11 %","2,26 %","3,18 %","17,34 %","1.825.945.008,34","154,51","0,85","0,50 %","-1,52 %","-1,02 %","-0,71 %",17,"22,74",147.211,N/A,N/A,N/A
HGRS11,IMÓVEIS RESIDENCIAIS,N/A,N/A,N/A,"1,15","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"58.696.568,40","92,86",N/A,"0,00 %","0,00 %","0,00 %","0,00 %",2,N/A,6,N/A,N/A,N/A
HGRU11,MISTO,"138,96","3.711.797,90","1,12","2,30","1,64 %","2,93 %","4,82 %","9,42 %","0,98 %","0,80 %","0,79 %","9,42 %","4,09 %","5,80 %","25,84 %","2.276.269.694,24","123,67","1,12","0,69 %","0,63 %","1,33 %","15,19 %",71,"14,10",207.981,N/A,N/A,N/A
HILG11,INDEFINIDO,N/A,N/A,N/A,"1,34","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"95.319.440,16",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,50,N/A,N/A,N/A
HLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"84,29","65.851,86","0,74","0,65","0,76 %","2,21 %","4,29 %","8,80 %","0,74 %","0,72 %","0,73 %","8,80 %","-4,10 %","-3,37 %","3,49 %","488.806.356,54","115,01","0,73","0,57 %","-1,25 %","-0,70 %","10,10 %",5,"14,87",4.285,N/A,N/A,N/A
HOFC11,LAJES CORPORATIVAS,"18,83","76.177,14","0,21","0,20","1,07 %","2,14 %","3,97 %","9,44 %","0,71 %","0,66 %","0,79 %","9,44 %","-7,01 %","-6,02 %","-27,04 %","337.154.880,19",N/A,N/A,N/A,N/A,N/A,N/A,4,"20,51",6.949,N/A,N/A,N/A
HOSI11,IMÓVEIS RESIDENCIAIS,"87,51","268.192,48","0,94","1,20","1,33 %","2,94 %","4,94 %","11,57 %","0,98 %","0,82 %","0,96 %","11,57 %","10,28 %","11,75 %","74,71 %","53.220.231,60","92,81","0,94","0,83 %","0,81 %","1,65 %","7,54 %",0,"46,19",1.608,N/A,N/A,N/A
HPDP11,SHOPPINGS,"87,76","1.353.995,67","0,99","0,53","0,60 %","1,22 %","3,14 %","7,07 %","0,41 %","0,52 %","0,59 %","7,07 %","2,38 %","3,00 %","33,95 %","278.372.279,43","88,35","0,99","0,60 %","-1,02 %","-0,43 %","-0,65 %",1,"46,37",423,N/A,N/A,N/A
HRDF11,FUNDO DE DESENVOLVIMENTO,"3,75","422,14","0,59","5,40",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"9.712.778,49",N/A,N/A,N/A,N/A,N/A,N/A,0,"386,86",1.155,N/A,N/A,N/A
HREC11,PAPÉIS,"8,66","163.495,76","0,09","0,09","0,95 %","21,19 %","51,26 %","119,16 %","7,06 %","8,54 %","9,93 %","119,16 %","7,29 %","8,31 %","242,20 %","474.185.649,19","91,95","0,09","0,92 %","3,45 %","4,41 %","14,93 %",0,"14,41",1.711,N/A,N/A,N/A
HSAF11,PAPÉIS,"84,67","431.980,67","0,92","0,75","0,87 %","2,78 %","5,37 %","12,79 %","0,93 %","0,90 %","1,07 %","12,79 %","2,00 %","2,89 %","24,63 %","231.861.541,27","91,78","0,92","0,87 %","0,48 %","1,36 %","10,57 %",0,"14,83",10.628,N/A,N/A,N/A
HSLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"95,96","1.075.265,00","0,92","0,74","0,75 %","2,37 %","4,67 %","9,86 %","0,79 %","0,78 %","0,82 %","9,86 %","8,30 %","9,11 %","22,23 %","1.312.564.195,98","103,68","0,93","0,71 %","-1,20 %","-0,50 %","0,89 %",5,"17,33",35.751,N/A,N/A,N/A
HSML11,SHOPPINGS,"96,23","3.139.500,81","1,02","0,76","0,79 %","2,39 %","4,73 %","9,98 %","0,80 %","0,79 %","0,83 %","9,98 %","3,48 %","4,29 %","30,57 %","1.488.817.354,39","94,34","1,02","0,78 %","-3,32 %","-2,56 %","2,54 %",7,"11,95",166.127,N/A,N/A,N/A
HSRE11,MISTO,"105,99","5.885.049,33","1,13","0,60","0,57 %","1,67 %","2,83 %","5,28 %","0,56 %","0,47 %","0,44 %","5,28 %","-0,24 %","0,32 %","-0,04 %","832.511.806,46","93,55","1,13","0,64 %","-2,59 %","-1,97 %","4,26 %",28,"26,24",236,N/A,N/A,N/A
HTMX11,HOTÉIS,"159,33","1.926.170,57","1,47","3,25","1,64 %","6,06 %","10,90 %","17,55 %","2,02 %","1,82 %","1,46 %","17,55 %","11,86 %","13,70 %","111,24 %","194.881.334,57","129,55","1,23","2,86 %","-7,70 %","-5,06 %","9,86 %",22,"30,93",30.859,N/A,N/A,N/A
HUCG11,HOSPITALAR,"95,49","5.935,43","0,91","0,22","0,20 %","0,40 %","0,83 %","2,95 %","0,13 %","0,14 %","0,25 %","2,95 %","8,00 %","8,22 %","-7,51 %","116.471.818,16",N/A,N/A,N/A,N/A,N/A,N/A,2,"81,84",219,N/A,N/A,N/A
HUSC11,HOSPITALAR,"120,00","4.969,94","0,83","0,95","0,00 %","1,60 %","4,11 %","8,33 %","0,53 %","0,69 %","0,69 %","8,33 %","0,00 %","0,00 %",N/A,"119.196.674,41","145,38","0,83","0,65 %","-0,93 %","-0,29 %","7,87 %",2,"44,48",773,N/A,N/A,N/A
HUSI11,HOSPITALAR,"1.200,00","6.933,33","1,08","8,35","0,70 %","0,70 %","0,70 %","1,38 %","0,23 %","0,12 %","0,12 %","2,03 %","0,00 %","0,00 %",N/A,"129.484.182,95","1.112,77","1,08","0,75 %","12,05 %","12,89 %","18,74 %",0,"249,15",87,N/A,N/A,N/A
IAAG11,INDEFINIDO,"8,89","24.113,48","0,93","0,08","0,89 %","2,73 %","4,84 %","4,84 %","0,91 %","0,97 %","0,97 %","4,84 %","-7,73 %","-6,91 %","-7,20 %","52.587.416,43","9,65","0,92","0,83 %","0,00 %","0,00 %","0,00 %",0,"10,31",1.510,N/A,N/A,N/A
IBCR11,PAPÉIS,"80,90","193.401,81","0,85","1,00","1,28 %","3,76 %","7,41 %","14,17 %","1,25 %","1,24 %","1,18 %","13,35 %","-3,38 %","-2,15 %","5,30 %","92.403.066,17","96,41","0,84","1,04 %","2,65 %","3,72 %","12,49 %",0,"16,01",4.035,N/A,N/A,N/A
IBFF11,FUNDO DE FUNDOS,"66,40","162.549,50","4,49","14,79","0,00 %","0,44 %","2,85 %","8,02 %","0,15 %","0,48 %","0,67 %","5,41 %","0,00 %","0,00 %",N/A,"9.855.905,16","14,78","4,49","100,08 %","-79,09 %","-58,15 %","-58,47 %",0,"4,20",3.870,N/A,N/A,N/A
IDFI11,INDEFINIDO,"23,39","9.611,67","0,66","1,54",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"62.446.564,12","30,34","0,77","8,09 %","-45,78 %","-41,40 %","-52,21 %",2,"53,53",371,N/A,N/A,N/A
IDGR11,MISTO,"11,50","698,62","0,93","1,30",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"10.958.195,10",N/A,N/A,N/A,N/A,N/A,N/A,1,"121,82",72,N/A,N/A,N/A
IFRA11,FUNDO DE DESENVOLVIMENTO,"111,37","1.464.807,00",N/A,"1,10","1,00 %","3,08 %","6,16 %","11,83 %","1,03 %","1,03 %","0,99 %","11,83 %","4,88 %","5,93 %","23,19 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"9,78",0,N/A,N/A,N/A
IRDM11,PAPÉIS,"82,14","4.966.167,90","0,94","0,77","1,02 %","2,92 %","5,71 %","11,97 %","0,97 %","0,95 %","1,00 %","11,00 %","-4,89 %","-3,92 %","-9,36 %","3.179.568.325,46","87,27","0,94","0,88 %","-5,96 %","-5,13 %","-1,32 %",0,"15,51",294.383,N/A,N/A,N/A
IRIM11,INDEFINIDO,"86,35","48.443,67","0,94","1,00","1,23 %","3,08 %","6,10 %","12,74 %","1,03 %","1,02 %","1,06 %","11,76 %","-1,81 %","-0,61 %","-3,42 %","175.318.808,74","91,31","0,95","1,10 %","-6,18 %","-5,15 %","-1,54 %",0,"15,35",2.708,N/A,N/A,N/A
ITIP11,PAPÉIS,"75,89","107.585,43","1,02","0,65","0,85 %","2,58 %","5,38 %","12,12 %","0,86 %","0,90 %","1,01 %","12,12 %","-1,59 %","-0,75 %","8,26 %","55.478.043,44","74,15","1,02","0,92 %","-7,42 %","-6,57 %","-4,34 %",0,"12,53",4.555,N/A,N/A,N/A
ITIT11,FUNDO DE FUNDOS,"78,39","228.656,67","0,91","0,64","0,84 %","2,50 %","4,78 %","9,51 %","0,83 %","0,80 %","0,79 %","9,51 %","2,41 %","3,27 %","5,06 %","76.138.418,95","84,55","0,93","0,75 %","7,08 %","7,88 %","15,12 %",0,"11,10",9.808,N/A,N/A,N/A
JASC11,IMÓVEIS COMERCIAIS - OUTROS,"103,00","999.926,00","0,96","0,52","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"358.595.876,06",N/A,N/A,N/A,N/A,N/A,N/A,13,"15,51",77,N/A,N/A,N/A
JBFO11,PAPÉIS,"87,00","87,00","1,05","0,62","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"106.029.522,37",N/A,N/A,N/A,N/A,N/A,N/A,0,"38,50",364,N/A,N/A,N/A
JCCJ11,PAPÉIS,"124,95","5.191.297,50","0,72","0,37","0,00 %","0,24 %","0,50 %","0,50 %","0,08 %","0,17 %","0,17 %","0,50 %","0,00 %","0,00 %",N/A,"289.905.389,24",N/A,N/A,N/A,N/A,N/A,N/A,0,"20,07",152,N/A,N/A,N/A
JFLL11,IMÓVEIS RESIDENCIAIS,"75,13","45.240,19","0,75","0,62","0,83 %","2,52 %","5,01 %","10,87 %","0,84 %","0,84 %","0,91 %","10,87 %","-1,52 %","-0,71 %","25,98 %","151.466.929,12","100,94","0,74","0,61 %","-0,04 %","0,57 %","9,29 %",2,"23,52",3.693,N/A,N/A,N/A
JGPX11,INDEFINIDO,"91,59","408.210,00","0,96","0,95","1,03 %","3,03 %","6,49 %","14,39 %","1,01 %","1,08 %","1,20 %","14,39 %","-4,91 %","-3,93 %","9,69 %","204.180.259,31","95,36","0,96","1,00 %","-0,64 %","0,35 %","11,27 %",0,"15,55",7.560,N/A,N/A,N/A
JPPA11,PAPÉIS,"92,25","172.362,19","0,95","1,04","1,10 %","3,33 %","6,80 %","15,10 %","1,11 %","1,13 %","1,26 %","15,10 %","2,72 %","3,85 %","4,11 %","88.409.037,69","97,79","0,94","1,07 %","-0,54 %","0,53 %","13,13 %",0,"12,68",9.137,N/A,N/A,N/A
JRDM11,SHOPPINGS,"85,90","610.682,00","0,97","7,83",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"224.143.181,16","88,84","0,97","0,45 %","-1,16 %","-0,71 %","7,23 %",1,"19,40",4.001,N/A,N/A,N/A
JSAF11,FUNDO DE FUNDOS,"105,49","915.781,38","1,06","1,00","0,99 %","2,94 %","5,84 %","12,48 %","0,98 %","0,97 %","1,04 %","12,48 %","-1,13 %","-0,15 %","35,80 %","152.984.804,79","97,25","1,08","1,03 %","3,52 %","4,59 %","12,91 %",0,"18,40",13.252,N/A,N/A,N/A
JSRE11,MISTO,"76,01","2.678.745,95","0,66","0,46","0,61 %","1,90 %","3,67 %","7,74 %","0,63 %","0,61 %","0,65 %","7,74 %","2,08 %","2,70 %","11,07 %","2.332.759.240,57","112,33","0,68","0,41 %","-0,57 %","-0,16 %","4,21 %",6,"20,15",104.094,N/A,N/A,N/A
JURO11,FUNDO DE DESENVOLVIMENTO,"109,15","2.133.059,90",N/A,"1,50","1,36 %","4,17 %","8,59 %","13,66 %","1,39 %","1,43 %","1,14 %","12,48 %","1,89 %","3,28 %","17,58 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"10,84",0,N/A,N/A,N/A
KCRE11,INDEFINIDO,"97,47","630.968,10","0,95","0,81","0,83 %","2,63 %","4,96 %","12,34 %","0,88 %","0,83 %","1,03 %","12,34 %","3,51 %","4,37 %","25,28 %","367.220.690,00","102,01","0,96","0,83 %","4,18 %","5,04 %","6,22 %",0,"12,42",10.101,N/A,N/A,N/A
KDIF11,FUNDO DE DESENVOLVIMENTO,"139,17","2.221.344,43",N/A,"1,00","0,74 %","2,24 %","4,49 %","10,28 %","0,75 %","0,75 %","0,86 %","9,21 %","0,99 %","1,74 %","16,56 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"12,95",0,N/A,N/A,N/A
KEVE11,FUNDO DE DESENVOLVIMENTO,"1.128,00","175.846,80","1,21","71,77",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"137.235.394,30","918,28","1,23","2,13 %","-1,49 %","0,60 %","-3,27 %",0,"31,84",485,N/A,N/A,N/A
KFOF11,FUNDO DE FUNDOS,"100,97","833.335,67","1,04","1,03","1,05 %","2,73 %","5,09 %","10,78 %","0,91 %","0,85 %","0,90 %","10,78 %","3,93 %","5,02 %","38,94 %","433.689.941,45","95,67","1,06","0,84 %","5,28 %","6,16 %","12,08 %",0,"20,77",19.232,N/A,N/A,N/A
KINP11,FUNDO DE DESENVOLVIMENTO,"9,82","38.394,20","2,66","2,90","0,00 %","4,91 %","14,60 %","31,63 %","1,64 %","2,43 %","2,64 %","12,53 %","0,00 %","0,00 %",N/A,"26.408.606,84","3,69","2,66","78,46 %","-16,14 %","49,66 %","52,28 %",0,"55,03",1.932,N/A,N/A,N/A
KISU11,FUNDO DE FUNDOS,"8,45","875.682,24","0,96","0,08","0,92 %","2,73 %","5,18 %","10,65 %","0,91 %","0,86 %","0,89 %","10,65 %","4,97 %","5,94 %","18,87 %","387.989.897,30","8,78","0,96","0,85 %","0,69 %","1,55 %","3,89 %",0,"12,46",131.430,N/A,N/A,N/A
KIVO11,PAPÉIS,"89,63","381.261,43","0,98","1,25","1,38 %","4,09 %","7,68 %","17,37 %","1,36 %","1,28 %","1,45 %","17,37 %","1,68 %","3,08 %","11,06 %","111.594.283,21",N/A,N/A,N/A,N/A,N/A,N/A,0,"22,94",4.095,N/A,N/A,N/A
KNCA11,INDEFINIDO,"104,76","2.926.577,67","1,02","1,05","0,99 %","2,98 %","6,18 %","13,27 %","0,99 %","1,03 %","1,11 %","13,27 %","1,20 %","2,20 %","12,84 %","2.226.235.895,18","103,07","1,02","0,98 %","0,86 %","1,85 %","13,34 %",0,"10,54",57.721,N/A,N/A,N/A
KNCR11,PAPÉIS,"103,00","9.246.848,71","1,02","1,01","0,97 %","3,04 %","6,49 %","13,47 %","1,01 %","1,08 %","1,12 %","13,47 %","2,50 %","3,50 %","20,89 %","5.755.605.712,78","100,80","1,02","1,00 %","0,05 %","1,05 %","14,38 %",0,"8,12",304.408,N/A,N/A,N/A
KNHF11,INDEFINIDO,"103,72","1.139.913,05","1,03","1,00","0,94 %","2,98 %","4,73 %","4,73 %","0,99 %","1,18 %","1,18 %","4,73 %","3,69 %","4,67 %","6,44 %","989.516.202,28",N/A,N/A,N/A,N/A,N/A,N/A,0,"10,47",12.830,N/A,N/A,N/A
KNHY11,PAPÉIS,"103,71","2.917.040,38","1,01","1,05","1,02 %","3,04 %","5,65 %","12,96 %","1,01 %","0,94 %","1,08 %","12,96 %","1,77 %","2,81 %","20,14 %","1.894.563.713,42","102,46","1,01","1,02 %","4,82 %","5,89 %","19,61 %",0,"9,07",15.846,N/A,N/A,N/A
KNIP11,PAPÉIS,"95,22","12.859.637,29","0,98","0,75","0,78 %","2,30 %","4,04 %","10,28 %","0,77 %","0,67 %","0,86 %","10,28 %","3,90 %","4,71 %","15,14 %","7.839.550.472,32","97,90","0,97","0,72 %","4,30 %","5,05 %","14,68 %",0,"8,92",74.995,N/A,N/A,N/A
KNOX11,N/A,"103,00","362.244,53",N/A,"2,44","2,31 %","7,49 %","12,66 %","19,17 %","2,50 %","2,11 %","2,40 %","7,49 %","5,62 %","8,06 %","15,17 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,71",0,N/A,N/A,N/A
KNPR11,INDEFINIDO,N/A,N/A,N/A,"4,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.597.182,36",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,593,N/A,N/A,N/A
KNRE11,FUNDO DE DESENVOLVIMENTO,"0,40","8.481,43","0,54","0,07","12,52 %","82,61 %","138,46 %","178,41 %","27,54 %","23,08 %","14,87 %","138,46 %","-44,00 %","-36,99 %","6,59 %","14.075.377,35","0,76","0,53","9,22 %","-8,43 %","0,01 %","-8,02 %",1,"66,21",6.824,N/A,N/A,N/A
KNRI11,MISTO,"164,75","3.670.659,67","1,04","1,00","0,60 %","1,86 %","3,65 %","7,90 %","0,62 %","0,61 %","0,66 %","7,90 %","3,76 %","4,38 %","27,72 %","3.858.209.932,42","159,71","1,03","0,63 %","-0,08 %","0,54 %","8,94 %",19,"12,74",262.554,N/A,N/A,N/A
KNSC11,PAPÉIS,"9,13","3.227.463,38","1,00","0,07","0,77 %","2,47 %","4,96 %","11,52 %","0,82 %","0,83 %","0,96 %","11,52 %","3,16 %","3,96 %","18,51 %","1.202.338.148,90","9,06","1,01","0,77 %","-89,72 %","-89,64 %","-88,55 %",0,"11,53",122.671,N/A,N/A,N/A
KNUQ11,INDEFINIDO,"103,62","478.242,62","1,03","1,14","1,11 %","3,09 %","3,09 %","3,09 %","1,03 %","0,52 %","0,52 %","3,09 %","0,58 %","1,69 %","2,29 %","745.057.118,56",N/A,N/A,N/A,N/A,N/A,N/A,0,"6,86",7.676,N/A,N/A,N/A
LASC11,SHOPPINGS,"104,94","837.447,30","1,04","0,67","0,63 %","1,64 %","3,37 %","9,65 %","0,55 %","0,56 %","0,80 %","9,65 %","1,44 %","2,07 %","12,96 %","300.134.628,71","102,08","1,03","0,53 %","-4,56 %","-4,06 %","-3,65 %",3,"18,46",378,N/A,N/A,N/A
LAVF11,INDEFINIDO,N/A,N/A,N/A,"1,30","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"116.243,80",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,7,N/A,N/A,N/A
LFTT11,PAPÉIS,"30,87","24.709,76","1,57","1,83",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"141.504.976,24","19,11","1,62","16,48 %","-52,27 %","-44,41 %","-80,41 %",260,"43,63",505,N/A,N/A,N/A
LGCP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"89,44","614.787,95","0,87","0,72","0,80 %","2,43 %","4,64 %","9,37 %","0,81 %","0,77 %","0,78 %","9,37 %","2,86 %","3,68 %","19,46 %","361.326.095,26","102,39","0,87","0,70 %","-0,39 %","0,31 %","8,52 %",5,"15,42",16.732,N/A,N/A,N/A
LIFE11,IMÓVEIS COMERCIAIS - OUTROS,"10,11","250.212,95","0,98","0,13","1,23 %","3,73 %","7,26 %","15,70 %","1,24 %","1,21 %","1,31 %","15,70 %","3,04 %","4,30 %","10,17 %","226.323.735,24",N/A,N/A,N/A,N/A,N/A,N/A,0,"20,44",5.568,N/A,N/A,N/A
LLAO11,MISTO,"77,37","551.253,00","1,00","1,39",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"27.928.633,66",N/A,N/A,N/A,N/A,N/A,N/A,16,"185,46",77,N/A,N/A,N/A
LOFT11B,FUNDO DE DESENVOLVIMENTO,"29,90",N/A,"2,92","47,90","0,00 %","0,00 %","142,24 %","189,83 %","0,00 %","23,71 %","15,82 %","92,37 %","0,00 %","0,00 %",N/A,"20.094.801,68",N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,1,N/A,N/A,N/A
LPLP11,INDEFINIDO,N/A,N/A,N/A,"0,23",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"150.224.640,15",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,5,N/A,N/A,N/A
LSAG11,MISTO,"103,50","95.944,43",N/A,"1,80","1,84 %","4,25 %","7,89 %","16,77 %","1,42 %","1,32 %","1,40 %","16,77 %","-3,92 %","-2,15 %","1,64 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"15,91",0,N/A,N/A,N/A
LSPA11,PAPÉIS,"107,00","21.400,00","0,93","4,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"46.708.647,20",N/A,N/A,N/A,N/A,N/A,N/A,0,"19,81",224,N/A,N/A,N/A
LUGG11,FUNDO DE DESENVOLVIMENTO,"82,62","55.297,00","0,67","0,50","0,60 %","1,78 %","3,85 %","8,59 %","0,59 %","0,64 %","0,72 %","8,59 %","-1,46 %","-0,87 %","23,28 %","139.688.561,12","123,54","0,67","0,40 %","-3,32 %","-2,93 %","4,59 %",5,"14,91",6.177,N/A,N/A,N/A
LVBI11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"118,31","5.289.935,19","1,02","0,90","0,76 %","2,29 %","4,31 %","8,75 %","0,76 %","0,72 %","0,73 %","8,75 %","3,81 %","4,60 %","24,83 %","1.670.163.552,38","117,26","1,01","0,77 %","1,52 %","2,30 %","7,56 %",11,"16,87",91.937,N/A,N/A,N/A
MALL11,SHOPPINGS,"117,96","1.977.717,81","0,99","0,80","0,67 %","2,09 %","4,22 %","8,70 %","0,70 %","0,70 %","0,73 %","8,70 %","1,77 %","2,46 %","25,18 %","1.087.825.302,55","119,22","0,99","0,67 %","-0,58 %","0,09 %","16,44 %",9,"10,24",131.412,N/A,N/A,N/A
MANA11,INDEFINIDO,"9,40","229.201,38","0,97","0,11","1,16 %","3,21 %","6,41 %","13,20 %","1,07 %","1,07 %","1,10 %","13,20 %","-1,86 %","-0,72 %","7,25 %","207.166.626,93",N/A,N/A,N/A,N/A,N/A,N/A,0,"26,31",5.010,N/A,N/A,N/A
MATV11,INDEFINIDO,"86,63","13.027,43","0,92","0,60","0,73 %","3,11 %","4,87 %","12,28 %","1,04 %","0,81 %","1,02 %","1,93 %","-1,41 %","-0,69 %","-1,08 %","39.926.993,67","91,36","0,95","0,66 %","-1,59 %","-0,95 %","0,12 %",0,"32,48",325,N/A,N/A,N/A
MAXR11,VAREJO,"75,76","359.940,00","0,60","0,77","1,03 %","3,02 %","5,94 %","11,63 %","1,01 %","0,99 %","0,97 %","10,69 %","2,40 %","3,46 %","17,14 %","140.298.938,18","124,64","0,61","0,62 %","1,27 %","1,89 %","9,42 %",8,"22,25",4.470,N/A,N/A,N/A
MBRF11,LAJES CORPORATIVAS,N/A,N/A,N/A,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"1.136,01",N/A,"0,88 %","-0,17 %","0,71 %","10,03 %",0,N/A,0,N/A,N/A,N/A
MCCI11,PAPÉIS,"95,19","3.549.205,57","1,00","0,90","0,98 %","2,90 %","5,81 %","12,45 %","0,97 %","0,97 %","1,04 %","11,21 %","-1,21 %","-0,24 %","11,10 %","1.622.277.255,65","95,65","1,00","0,94 %","3,41 %","4,38 %","9,22 %",0,"17,85",116.461,N/A,N/A,N/A
MCHF11,PAPÉIS,"9,11","1.332.855,71","0,95","0,08","0,95 %","2,83 %","5,83 %","12,61 %","0,94 %","0,97 %","1,05 %","11,52 %","-5,63 %","-4,73 %","2,15 %","310.585.168,90","9,60","0,95","0,83 %","0,95 %","1,79 %","4,61 %",0,"19,90",84.727,N/A,N/A,N/A
MCHY11,PAPÉIS,"11,30","27.893,14","0,11","1,30","1,16 %","3,49 %","7,08 %","14,64 %","1,16 %","1,18 %","1,22 %","13,38 %","0,10 %","1,26 %","15,46 %","359.454.688,12","100,13","0,11","1,30 %","-0,22 %","1,08 %","12,48 %",0,"93,24",1.080,N/A,N/A,N/A
MFAI11,FUNDO DE FUNDOS,"62,09","25.923,05","0,89","0,55","0,89 %","2,41 %","4,82 %","9,67 %","0,80 %","0,80 %","0,81 %","9,67 %","2,08 %","2,98 %","17,62 %","27.138.680,01","69,73","0,89","0,63 %","2,30 %","2,95 %","-5,82 %",0,"21,43",2.861,N/A,N/A,N/A
MFII11,FUNDO DE DESENVOLVIMENTO,"94,63","536.558,19","0,83","1,08","1,14 %","3,47 %","6,85 %","13,92 %","1,16 %","1,14 %","1,16 %","13,92 %","3,30 %","4,47 %","15,92 %","502.704.426,73","113,56","0,83","0,95 %","7,41 %","8,43 %","19,88 %",8,"11,33",30.265,N/A,N/A,N/A
MGCR11,PAPÉIS,"9,40","259.145,59","0,96","0,33","0,00 %","1,18 %","4,72 %","11,50 %","0,39 %","0,79 %","0,96 %","6,90 %","0,00 %","0,00 %",N/A,"131.240.792,97","9,78","0,96","1,02 %","-89,08 %","-88,97 %","-88,55 %",0,"12,88",4.360,N/A,N/A,N/A
